,item,cate,sub-category,price,rank,url,image,absorbency-good,accessory-bag,accessory-boots,accessory-heel,accessory-necklace,accessory-platshoes,accessory-sandal,accessory-shoes,accessory-slipper,chic-look,color-beige,color-black,color-blue,color-brown,color-dark,color-gold,color-gray,color-green,color-ivory,color-khaki,color-lavender,color-mint,color-navy,color-orange,color-pastel,color-pink,color-purple,color-red,color-silver,color-skyblue,color-vivid,color-white,color-yellow,delivery-good,design-boot,design-button,design-collarneck,design-crop,design-good,design-henryneck,design-opening,design-raglan,design-ripped,design-roundneck,design-shirring,design-straight,design-turtleneck,design-uneck,design-vneck,design-wide,fabric-cotton,fabric-denim,fabric-fur,fabric-lace,fabric-leather,fabric-linen,fabric-mesh,fabric-modal,fabric-opaque,fabric-quality,fabric-ribbed,fabric-silk,fabric-synthetic,fabric-thermal,fabric-thick,fabric-thin,fabric-velvet,fabric-wrinkle,finish-quality,formal-good,gender-men,gender-women,informal-good,length-good,length-long,length-short,match-down-cottonpt,match-down-denimpt,match-down-joggerpt,match-down-leggings,match-down-maxisk,match-down-minisk,match-down-onepiece,match-down-pants,match-down-shorts,match-down-skirt,match-down-slacks,match-gen,match-up-cardigan,match-up-coat,match-up-denimjk,match-up-fleecejk,match-up-hood,match-up-hoodzipup,match-up-jacket,match-up-knit,match-up-l-padding,match-up-leatherjk,match-up-mtm,match-up-mustang,match-up-outer,match-up-padding,match-up-paddingvt,match-up-pk-tshirt,match-up-s-padding,match-up-seasonsct,match-up-shirt,match-up-sleeveless,match-up-suit,match-up-trainingjk,match-up-truckerjk,match-up-tshirt,match-up-vest,pattern-check,pattern-dot,pattern-good,pattern-military,pattern-plain,pattern-printing,pattern-stripe,pattern-tiedye,portability-good,price-good,size-good,size-large,size-small,sleeves-long,sleeves-short,slim-look,sportive-look,sports-good,stretch-good,thickness-good,trend-look,trip-good,vivid-look,waterproof-good,woman-age-0s,woman-age-10s,woman-age-2030s,woman-age-4050s,young-look
2415,id-2-2013,TSHIRT,L-TSHIRT,34800,420,https://store.musinsa.com/app/goods/1778473,https://image.msscdn.net/images/goods_img/20210204/1778473/1778473_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2416,id-2-2014,TOP,HOOD,51100,620,https://store.musinsa.com/app/goods/1771113,https://image.msscdn.net/images/goods_img/20210201/1771113/1771113_2_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2417,id-2-2015,TOP,KNIT,65800,1120,https://store.musinsa.com/app/goods/1769259,https://image.msscdn.net/images/goods_img/20210129/1769259/1769259_1_500.png,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2418,id-2-2016,TSHIRT,S-TSHIRT,31200,820,https://store.musinsa.com/app/goods/1768225,https://image.msscdn.net/images/goods_img/20210128/1768225/1768225_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
2419,id-2-2017,TOP,HOOD,29800,1220,https://store.musinsa.com/app/goods/1751086,https://image.msscdn.net/images/goods_img/20210115/1751086/1751086_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2420,id-2-2018,TSHIRT,L-TSHIRT,52250,1020,https://store.musinsa.com/app/goods/1744561,https://image.msscdn.net/images/goods_img/20210112/1744561/1744561_2_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2421,id-2-2019,TOP,MTM,50150,420,https://store.musinsa.com/app/goods/1737605,https://image.msscdn.net/images/goods_img/20210106/1737605/1737605_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2422,id-2-2020,TOP,HOOD,28900,820,https://store.musinsa.com/app/goods/1733827,https://image.msscdn.net/images/goods_img/20201230/1733827/1733827_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2423,id-2-2021,TOP,SHIRT,68000,420,https://store.musinsa.com/app/goods/1622863,https://image.msscdn.net/images/goods_img/20200924/1622863/1622863_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2424,id-2-2022,TOP,KNIT,89900,620,https://store.musinsa.com/app/goods/1595876,https://image.msscdn.net/images/goods_img/20200910/1595876/1595876_3_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
