entity,example,intent,norm
HOOD,후디,CLOTHES-TYPE,후드티
HOOD,hoody,CLOTHES-TYPE,후드티
HOOD,후드티셔츠,CLOTHES-TYPE,후드티
S-TSHIRT,반팔 티셔츠,CLOTHES-TYPE,반팔 티셔츠
S-TSHIRT,반팔 티,CLOTHES-TYPE,반팔 티셔츠
SHIRT,셔츠,CLOTHES-TYPE,셔츠
SHIRT,블라우스,CLOTHES-TYPE,셔츠
SHIRT,남방,CLOTHES-TYPE,셔츠
MTM,맨투맨,CLOTHES-TYPE,맨투맨
MTM,맨투맨티,CLOTHES-TYPE,맨투맨
MTM,멘투멘,CLOTHES-TYPE,맨투맨
MTM,멘투멘티,CLOTHES-TYPE,맨투맨
MTM,M 2 M,CLOTHES-TYPE,맨투맨
MTM,스웨트셔츠,CLOTHES-TYPE,맨투맨
KNIT,니트,CLOTHES-TYPE,니트
KNIT,스웨터,CLOTHES-TYPE,니트
L-PADDING,롱패딩,CLOTHES-TYPE,롱패딩
S-PADDING,숏패딩,CLOTHES-TYPE,롱패딩
DENIMJK,데님 자킷,CLOTHES-TYPE,데님 자켓
DENIMJK,데님 재킷,CLOTHES-TYPE,데님 자켓
DENIMJK,데님 자켓,CLOTHES-TYPE,데님 자켓
DENIMJK,데님 쟈켓,CLOTHES-TYPE,데님 자켓
DENIMJK,데님 쟈킷,CLOTHES-TYPE,데님 자켓
DENIMJK,청 자킷,CLOTHES-TYPE,데님 자켓
DENIMJK,청 재킷,CLOTHES-TYPE,데님 자켓
DENIMJK,청 자켓,CLOTHES-TYPE,데님 자켓
DENIMJK,청 쟈켓,CLOTHES-TYPE,데님 자켓
DENIMJK,청 쟈킷,CLOTHES-TYPE,데님 자켓
DENIMJK,진 자킷,CLOTHES-TYPE,데님 자켓
DENIMJK,진 재킷,CLOTHES-TYPE,데님 자켓
DENIMJK,진 자켓,CLOTHES-TYPE,데님 자켓
DENIMJK,진 쟈켓,CLOTHES-TYPE,데님 자켓
DENIMJK,진 쟈킷,CLOTHES-TYPE,데님 자켓
COACHJK,나일론 자킷,CLOTHES-TYPE,나일론 자켓
COACHJK,나일론 재킷,CLOTHES-TYPE,나일론 자켓
COACHJK,나일론 자켓,CLOTHES-TYPE,나일론 자켓
COACHJK,나일론 쟈켓,CLOTHES-TYPE,나일론 자켓
COACHJK,나일론 쟈킷,CLOTHES-TYPE,나일론 자켓
COACHJK,코치 자킷,CLOTHES-TYPE,나일론 자켓
COACHJK,코치 재킷,CLOTHES-TYPE,나일론 자켓
COACHJK,코치 자켓,CLOTHES-TYPE,나일론 자켓
COACHJK,코치 쟈켓,CLOTHES-TYPE,나일론 자켓
COACHJK,코치 쟈킷,CLOTHES-TYPE,나일론 자켓
SAFARIJK,사파리 자킷,CLOTHES-TYPE,사파리 자켓
SAFARIJK,사파리 재킷,CLOTHES-TYPE,사파리 자켓
SAFARIJK,사파리 자켓,CLOTHES-TYPE,사파리 자켓
SAFARIJK,사파리 쟈켓,CLOTHES-TYPE,사파리 자켓
SAFARIJK,사파리 쟈킷,CLOTHES-TYPE,사파리 자켓
SAFARIJK,헌팅 자킷,CLOTHES-TYPE,사파리 자켓
SAFARIJK,헌팅 재킷,CLOTHES-TYPE,사파리 자켓
SAFARIJK,헌팅 자켓,CLOTHES-TYPE,사파리 자켓
SAFARIJK,헌팅 쟈켓,CLOTHES-TYPE,사파리 자켓
SAFARIJK,헌팅 쟈킷,CLOTHES-TYPE,사파리 자켓
PADDINGVT,패딩 조끼,CLOTHES-TYPE,패딩 조끼
PADDINGVT,패딩 베스트,CLOTHES-TYPE,패딩 조끼
PADDINGVT,패딩 쪼끼,CLOTHES-TYPE,패딩 조끼
PADDINGVT,패쪼,CLOTHES-TYPE,패딩 조끼
WINTER-DOBCT,겨울 더블 코트,CLOTHES-TYPE,겨울 싱글 코트
WINTER-SINGCT,겨울 싱글 코트,CLOTHES-TYPE,겨울 싱글 코트
SEASONSCT,트렌치코트,CLOTHES-TYPE,트렌치코트
SEASONSCT,바바리,CLOTHES-TYPE,트렌치코트
SEASONSCT,바바리코트,CLOTHES-TYPE,트렌치코트
STADIUMJK,스타디움 자킷,CLOTHES-TYPE,야구점퍼
STADIUMJK,스타디움 재킷,CLOTHES-TYPE,야구점퍼
STADIUMJK,스타디움 자켓,CLOTHES-TYPE,야구점퍼
STADIUMJK,스타디움 쟈켓,CLOTHES-TYPE,야구점퍼
STADIUMJK,스타디움 쟈킷,CLOTHES-TYPE,야구점퍼
STADIUMJK,스태디움 자킷,CLOTHES-TYPE,야구점퍼
STADIUMJK,스태디움 재킷,CLOTHES-TYPE,야구점퍼
STADIUMJK,스태디움 자켓,CLOTHES-TYPE,야구점퍼
STADIUMJK,스태디움 쟈켓,CLOTHES-TYPE,야구점퍼
STADIUMJK,스태디움 쟈킷,CLOTHES-TYPE,야구점퍼
STADIUMJK,야구잠바,CLOTHES-TYPE,야구점퍼
STADIUMJK,야구점퍼,CLOTHES-TYPE,야구점퍼
STADIUMJK,과잠바,CLOTHES-TYPE,야구점퍼
STADIUMJK,과점퍼,CLOTHES-TYPE,야구점퍼
STADIUMJK,야잠,CLOTHES-TYPE,야구점퍼
STADIUMJK,과잠,CLOTHES-TYPE,야구점퍼
TRAININGJK,트레이닝 자킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,트레이닝 재킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,트레이닝 자켓,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,트레이닝 쟈켓,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,트레이닝 쟈킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,트레이닝 상의,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,추리닝 자킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,추리닝 재킷,CLOTHES-TYPE,트레이닝 자켓
TRAININGJK,추리닝 자켓,CLOTHES-TYPE,트레이닝 자켓
